19|5|20|11
2|17|3|4
15|24|14|23
1|10|16|7
22|9|21|18
6|13|19|12
20|23|4|8
5|1|17|25
21|10|11|15
14|3|7|22
18|16|13|24
25|2|23|19
12|4|1|9
8|6|15|17
10|22|24|5
3|18|25|20
7|9|11|13
23|21|12|16
6|14|2|1
8|19|18|10
17|20|7|24
15|12|5|3
4|11|22|6
13|25|14|21
16|8|9|2
20|1|19|15
23|7|5|18
11|21|4|24
12|17|8|22
9|3|6|10
14|13|2|20
7|15|25|16
18|17|23|11
5|8|1|21
24|22|9|19
3|4|10|13
20|16|6|25
11|2|12|7
9|14|8|5
22|23|13|1
19|3|21|17
24|15|18|2
10|12|20|14
25|7|6|4
16|19|22|5
1|11|3|8
13|15|17|9
2|6|21|23
10|25|24|12
4|18|16|14
